"ID","Collection","ENS","Minting Date","Tx Count","Power"
"2347556","0xbe3e1ca409bf61e476bca616fc674098b148e2e3","","Thu, 28 Oct 2021 08:57:55 GMT","1","3"
"2347568","0x044fd74174c8abf46123cd98178663f5230a4007","starstar.eth","Thu, 28 Oct 2021 08:58:40 GMT","1","783"
"2347576","0x5d46ed7405a8a87492cd139fcd38bce60cb5030e","b-wallet.eth","Thu, 28 Oct 2021 09:00:25 GMT","1","1656"
"2347588","0x84e3e0f568ed68b4f6827fe797444b3d5b1fd8b5","l2nft.eth","Thu, 28 Oct 2021 09:02:00 GMT","1","1934"
"2347644","0x6ebda7544c2b0edbb449f78aa88ac708fbdf2687","","Thu, 28 Oct 2021 09:08:30 GMT","1","1"
"2347650","0x6d96b763131b9fbef1f6d4af5bdcff09b2dbdd92","nazzareno.eth","Thu, 28 Oct 2021 09:11:20 GMT","1","23"
"2347662","0xe7b30a037f5598e4e73702ca66a59af5cc650dcd","","Thu, 28 Oct 2021 09:11:58 GMT","1","6"
"2347663","0x7f2049f69eabc4bd865fe8edf21cb8019cc7ec8f","lolclark.eth","Thu, 28 Oct 2021 09:12:30 GMT","1","18"
"2347717","0x2959c374a9331b93fe56d0ab19ae77236ab4566e","","Thu, 28 Oct 2021 09:18:50 GMT","1","279"
"2347722","0xdd6d37e29294a985e49ff301acc80877fc24997f","","Thu, 28 Oct 2021 09:19:30 GMT","1","5"
